"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Start Date","Completion Date","Locations","URL"
37,"Effect of Probiotics in Non-alcoholic Fatty Liver Disease and Steatohepatitis","Not yet recruiting","No Results Available","Fatty Liver Disease|Fibrosis, Liver|Cirrhosis, Liver|Steatohepatitis, Nonalcoholic","Drug: Align Probiotic Supplement Capsule|Drug: Placebos","William Beaumont Hospitals","Phase 1|Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","July 30, 2020","December 1, 2021","Beaumont Hospital, Farmington Hills, Michigan, United States","https://ClinicalTrials.gov/show/NCT04175392"
38,"A Study of CRV431 Dosed Once Daily in NASH Induced F2 and F3 Subjects","Recruiting","No Results Available","NASH - Nonalcoholic Steatohepatitis|Fibrosis, Liver|NAFLD - Nonalcoholic Fatty Liver Disease","Drug: CRV431|Drug: Placebo","Hepion Pharmaceuticals, Inc.","Phase 2","18","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","June 23, 2020","February 2021","Conquest Clinical Research, Orange, California, United States|Alliance Clinical Research, Poway, California, United States|La Salud Research, Inc., Miami, Florida, United States|Progressive Medical Research, Port Orange, Florida, United States|Covenant Research, LLC., Sarasota, Florida, United States|Gastrointestinal Specialists of Georgia, Marietta, Georgia, United States|Aventiv Research Inc., Columbus, Ohio, United States|Quality Research Inc., San Antonio, Texas, United States|Pinnacle Research Group, San Antonio, Texas, United States|FDI Clinical Research, San Juan, Puerto Rico","https://ClinicalTrials.gov/show/NCT04480710"
39,"Evaluation of Irbesartan on Hepatic Fibrosis in Chronic Hepatitis C","Completed","No Results Available","Hepatitis C, Chronic","Drug: Irbesartan|Drug: placebo","French National Institute for Health and Medical Research-French National Agency for Research on AIDS and Viral Hepatitis (Inserm-ANRS)|Sanofi","Phase 3","166","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","October 2006","November 2013","CHU Angers, Service d'hépato-gastroentérologie, Angers, France","https://ClinicalTrials.gov/show/NCT00265642"
40,"Efficacy of Pegylated Interferon on Liver Fibrosis in Co-infected Patient With HIV and Hepatitis C","Completed","No Results Available","HIV Infections|Hepatitis C, Chronic","Biological: Peginterferon alpha-2a (Pegasys®)|Drug: Ribavirin|Drug: HIV antiretroviral therapy","French National Agency for Research on AIDS and Viral Hepatitis|Hoffmann-La Roche","Phase 3","52","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","November 2003","March 2009","Service de Maladies Infectieuses et de Réanimation Médicale, Rennes, France","https://ClinicalTrials.gov/show/NCT00122616"
41,"Assess the Antifibrotic Activity of Fuzheng Huayu in Chronic Hepatitis C Patients With Hepatic Fibrosis","Completed","Has Results","Chronic Hepatitis C Infection","Drug: Fuzheng Huayu|Drug: Placebo","Tarek Hassanein|Shanghai Sundise Traditional Chinese Medicine Co., Ltd.|SCTI Research Foundation","Phase 2","118","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","August 2010","August 2013","SCTI Research Foundation, Coronado, California, United States|VA Palo Alto HCS, Palo Alto, California, United States|Huntington Medical Research Institutes, Pasadena, California, United States|UC Davis Health System, Sacramento, California, United States|Southern California Liver Centers, San Clemente, California, United States|Advanced Medical Research Center, Port Orange, Florida, United States|St. Luke's Advanced Liver Therapies, Houston, Texas, United States|University of Utah HSC, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00854087"
42,"An Evaluation of the Safety and Efficacy of NTZ on Collagen Turnover in NASH Patients With Fibrosis","Recruiting","No Results Available","Non-alcoholic Steatohepatitis|Fatty Liver|Fibrosis, Liver|Compensated Cirrhosis","Drug: Nitazoxanide 500mg BID","Pinnacle Clinical Research, PLLC","Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","December 15, 2018","October 2020","Pinnacle Clinical Research, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT03656068"
43,"Metabolic Interventions to Resolve Non-alcoholic Steatohepatitis (NASH) With Fibrosis (MIRNA)","Recruiting","No Results Available","Nonalcoholic Fatty Liver Disease|Nonalcoholic Steatohepatitis With Liver Fibrosis","Drug: Placebo|Drug: PF-06865571|Drug: PF-05221304","Pfizer","Phase 2","450","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","June 15, 2020","December 1, 2022","Magnolia Surgery Center, El Cajon, California, United States|National Research Institute, Huntington Park, California, United States|ART Vascular, Monterey Park, California, United States|Huntington-Hill Imaging Center, Cordova, Pasadena, California, United States|California Liver Research Institute, Pasadena, California, United States|Huntington Medical Research Institute, Pasadena, California, United States|Huntington-Hill Imaging Center, Fair Oaks, Pasadena, California, United States|Inland Empire Liver Foundation, Rialto, California, United States|Clinical Trials Research, Sacramento, California, United States|Wake Research MCCR, San Diego, California, United States|Sharp and Children's MRI Center, LLC, San Diego, California, United States|Orange County Research Center, Tustin, California, United States|Clinical Research of South Florida, an AMR company, Coral Gables, Florida, United States|Florida Research Institute, Lakewood Ranch, Florida, United States|San Marcus Research Clinic, Inc., Miami Lakes, Florida, United States|Optimus U Corporation, Miami, Florida, United States|Ivetmar Medical Group LLC, Miami, Florida, United States|Janus Clinical Research, Miami, Florida, United States|Clinical Neuroscience Solutions, Inc, Orlando, Florida, United States|Omega Research Maitland, LLC, Orlando, Florida, United States|GCP, Global Clinical Professionals, Saint Petersburg, Florida, United States|Sarasota Interventional Radiology, Sarasota, Florida, United States|Partners Imaging Center, Sarasota, Florida, United States|Kansas Medical Clinic PA, Topeka, Kansas, United States|Centex Studies, Inc., Lake Charles, Louisiana, United States|Lake Charles Memorial Hospital, Lake Charles, Louisiana, United States|Las Vegas Medical Research, Las Vegas, Nevada, United States|M3-Wake Research, Inc., Raleigh, North Carolina, United States|Gastroenterology Associates of the Piedmont, PA, Winston-Salem, North Carolina, United States|Novant Health Medical Center, Winston-Salem, North Carolina, United States|PMG Research of Winston-Salem, LLC, Winston-Salem, North Carolina, United States|University Gastroenterology, Providence, Rhode Island, United States|Center for Medical Research, LLC, Providence, Rhode Island, United States|Roger Williams Hospital, Providence, Rhode Island, United States|Chattanooga Imaging Center, Chattanooga, Tennessee, United States|WR-Clinsearch, LLC, Chattanooga, Tennessee, United States|Quality Medical Research, PLLC, Nashville, Tennessee, United States|Texas Clinical Research Institute, Arlington, Texas, United States|Touchstone Imaging (MRI-PDFF), Dallas, Texas, United States|Center for Diagnostic Imaging (Liver Biopsy and Abdominal Ultrasound), DeSoto, Texas, United States|Therapeutic Concepts, PA, Houston, Texas, United States|Centex Studies, Inc., Houston, Texas, United States|Biopharma Informatic, LLC, Houston, Texas, United States|Premier Vein and Vascular, Houston, Texas, United States|HCA Houston Healthcare Pearland, Pearland, Texas, United States|Clinical Trials of Texas, Inc., San Antonio, Texas, United States|Reddy Cardiac Wellness, Sugar Land, Texas, United States|Physicians' Research Options, LLC, Draper, Utah, United States|Aggarwal and Associates Limited, Brampton, Ontario, Canada|Resonance Magnetique du Saguenay-Lac-Saint-Jean, Chicoutimi, Quebec, Canada|Centre integre universitaire de sante et de services sociaux du Saguenay-Lac-Saint-Jean, Chicoutimi, Quebec, Canada|Ecogene-21, Chicoutimi, Quebec, Canada|Juntendo University Shizuoka Hospital, Izunokuni, Shizuoka, Japan|Fukui-Ken Saiseikai Hospital, Fukui, Japan","https://ClinicalTrials.gov/show/NCT04321031"
44,"Antifibrotic Activity Of GI262570 In Chronic Hepatitis C Subjects","Completed","Has Results","Cirrhosis, Liver","Drug: GI262570 0.5 mg|Drug: GI262570 1.0 mg|Drug: Placebo","GlaxoSmithKline","Phase 2","265","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment","November 2, 2005","March 13, 2008","GSK Investigational Site, Birmingham, Alabama, United States|GSK Investigational Site, Tucson, Arizona, United States|GSK Investigational Site, North Little Rock, Arkansas, United States|GSK Investigational Site, Bakersfield, California, United States|GSK Investigational Site, La Jolla, California, United States|GSK Investigational Site, Los Angeles, California, United States|GSK Investigational Site, Los Angeles, California, United States|GSK Investigational Site, Newport Beach, California, United States|GSK Investigational Site, Pasadena, California, United States|GSK Investigational Site, Sacramento, California, United States|GSK Investigational Site, San Clemente, California, United States|GSK Investigational Site, San Francisco, California, United States|GSK Investigational Site, Santa Clara, California, United States|GSK Investigational Site, Englewood, Colorado, United States|GSK Investigational Site, Washington, District of Columbia, United States|GSK Investigational Site, Fort Lauderdale, Florida, United States|GSK Investigational Site, Miami, Florida, United States|GSK Investigational Site, Orlando, Florida, United States|GSK Investigational Site, Sarasota, Florida, United States|GSK Investigational Site, Atlanta, Georgia, United States|GSK Investigational Site, Atlanta, Georgia, United States|GSK Investigational Site, Atlanta, Georgia, United States|GSK Investigational Site, Marietta, Georgia, United States|GSK Investigational Site, Honolulu, Hawaii, United States|GSK Investigational Site, Indianapolis, Indiana, United States|GSK Investigational Site, Iowa City, Iowa, United States|GSK Investigational Site, Louisville, Kentucky, United States|GSK Investigational Site, Lutherville-Timonium, Maryland, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Worcester, Massachusetts, United States|GSK Investigational Site, Ann Arbor, Michigan, United States|GSK Investigational Site, Detroit, Michigan, United States|GSK Investigational Site, Saint Louis, Missouri, United States|GSK Investigational Site, Binghamton, New York, United States|GSK Investigational Site, Manhasset, New York, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, Syracuse, New York, United States|GSK Investigational Site, The Bronx, New York, United States|GSK Investigational Site, Chapel Hill, North Carolina, United States|GSK Investigational Site, Durham, North Carolina, United States|GSK Investigational Site, Cincinnati, Ohio, United States|GSK Investigational Site, Cincinnati, Ohio, United States|GSK Investigational Site, Cleveland, Ohio, United States|GSK Investigational Site, Tulsa, Oklahoma, United States|GSK Investigational Site, Hershey, Pennsylvania, United States|GSK Investigational Site, Lancaster, Pennsylvania, United States|GSK Investigational Site, Dallas, Texas, United States|GSK Investigational Site, Houston, Texas, United States|GSK Investigational Site, San Antonio, Texas, United States|GSK Investigational Site, Charlottesville, Virginia, United States|GSK Investigational Site, Fairfax, Virginia, United States|GSK Investigational Site, Richmond, Virginia, United States|GSK Investigational Site, Richmond, Virginia, United States|GSK Investigational Site, Herston, Queensland, Australia|GSK Investigational Site, Camperdown, Victoria, Australia|GSK Investigational Site, Clayton, Victoria, Australia|GSK Investigational Site, Fitzroy, Melbourne, Victoria, Australia|GSK Investigational Site, Heidelberg, Victoria, Australia|GSK Investigational Site, Melbourne, Victoria, Australia|GSK Investigational Site, Calgary, Alberta, Canada|GSK Investigational Site, Vancouver, British Columbia, Canada|GSK Investigational Site, Victoria, British Columbia, Canada|GSK Investigational Site, Winnipeg, Manitoba, Canada|GSK Investigational Site, Halifax, Nova Scotia, Canada|GSK Investigational Site, London, Ontario, Canada|GSK Investigational Site, Ottawa, Ontario, Canada|GSK Investigational Site, Toronto, Ontario, Canada|GSK Investigational Site, Toronto, Ontario, Canada|GSK Investigational Site, Toronto, Ontario, Canada|GSK Investigational Site, Montreal, Quebec, Canada|GSK Investigational Site, Brno - Bohunice, Czechia|GSK Investigational Site, Hradec Kralove, Czechia|GSK Investigational Site, Praha 4, Czechia|GSK Investigational Site, Praha 6, Czechia|GSK Investigational Site, Freiburg, Baden-Wuerttemberg, Germany|GSK Investigational Site, Heidelberg, Baden-Wuerttemberg, Germany|GSK Investigational Site, Tuebingen, Baden-Wuerttemberg, Germany|GSK Investigational Site, Erlangen, Bayern, Germany|GSK Investigational Site, Frankfurt, Hessen, Germany|GSK Investigational Site, Hannover, Niedersachsen, Germany|GSK Investigational Site, Bonn, Nordrhein-Westfalen, Germany|GSK Investigational Site, Duesseldorf, Nordrhein-Westfalen, Germany|GSK Investigational Site, Muenster, Nordrhein-Westfalen, Germany|GSK Investigational Site, Homburg, Saarland, Germany|GSK Investigational Site, Halle, Sachsen-Anhalt, Germany|GSK Investigational Site, Leipzig, Sachsen, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Hamburg, Germany|GSK Investigational Site, Haifa, Israel|GSK Investigational Site, Jerusalem, Israel|GSK Investigational Site, Nazareth, Israel|GSK Investigational Site, Petach-Tikva, Israel|GSK Investigational Site, Rehovot, Israel|GSK Investigational Site, Tel-Aviv, Israel|GSK Investigational Site, Daegu, Korea, Republic of|GSK Investigational Site, Pusan, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Bandar Tun Razak, Cheras, Malaysia|GSK Investigational Site, Kepong, Malaysia|GSK Investigational Site, Auckland, New Zealand|GSK Investigational Site, San Juan, Puerto Rico|GSK Investigational Site, Bucharest, Romania|GSK Investigational Site, Bucharest, Romania|GSK Investigational Site, Cluj-Napoca, Cluj, Romania|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Saint-Petersburg, Russian Federation|GSK Investigational Site, Singapore, Singapore|GSK Investigational Site, Kaohsiung, Taiwan|GSK Investigational Site, Kaohsiung, Taiwan|GSK Investigational Site, Taipei, Taiwan|GSK Investigational Site, Taoyuan, Taiwan","https://ClinicalTrials.gov/show/NCT00244751"
45,"Long Term Interferon for Patients Who Did Not Clear Hepatitis C Virus With Standard Treatment","Completed","Has Results","Chronic Hepatitis c|Cirrhosis, Liver|Fibrosis, Liver|Hepatic Cirrhosis","Drug: Peginterferon alfa-2a + Ribavirin|Drug: Peginterferon alfa-2a","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institute of Allergy and Infectious Diseases (NIAID)|National Institute on Minority Health and Health Disparities (NIMHD)|National Cancer Institute (NCI)|Hoffmann-La Roche","Phase 3","1050","NIH|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","June 2000","October 2009","University of California-Irvine/VA Medical Center-Long Beach, Long Beach, California, United States|USC School of Medicine, Los Angeles, California, United States|UCHSC (University of Colorado), Denver, Colorado, United States|University of Connecticut Health Center, Farmington, Connecticut, United States|Lds, Niddk, Nih, Bethesda, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|UMass Memorial HealthCare, University Campus, Worcester, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Saint Louis University, Saint Louis, Missouri, United States|University of Texas Southwestern - Dallas, Dallas, Texas, United States|Medical College of Virginia, Richmond, Virginia, United States","https://ClinicalTrials.gov/show/NCT00006164"
46,"Effect of a Perioperative Oral Nutritional Supplementation on Patients Undergoing Hepatic Surgery for Liver Cancer","Terminated","No Results Available","Liver Cancer|Hepatocellular Carcinoma|Cirrhosis|Liver Fibrosis","Drug: Oral Impact®|Drug: Placebo","Rennes University Hospital|Ministry of Health, France|Novartis","Phase 2|Phase 3","35","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","April 2003","September 2008","Service de Réanimation Chirurgicale - Hôpital Pontchaillou, Rennes, France","https://ClinicalTrials.gov/show/NCT00151671"
47,"Improving Fibrosis Outcomes With Metformin","Withdrawn","No Results Available","HIV Infection|Hepatitis C","Drug: Metformin|Drug: No metformin treatment","Ottawa Hospital Research Institute|CIHR Canadian HIV Trials Network","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","January 2016","April 3, 2018","The Ottawa Hospital, General Campus, Ottawa, Ontario, Canada","https://ClinicalTrials.gov/show/NCT02306070"
48,"THISTLE - The HIV-HCV Silibinin Trial","Completed","No Results Available","HIV|Hepatitis C","Drug: Intravenous Silibinin (iSIL)","University of Zurich","Phase 2","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","April 2013","December 2014","Division of Infectious Diseases and Hospital Epidemiology, University Hospital Zurich, University of Zurich, Zurich, Switzerland","https://ClinicalTrials.gov/show/NCT01816490"
49,"Simtuzumab (GS-6624) in the Prevention of Progression of Liver Fibrosis in Adults With Primary Sclerosing Cholangitis (PSC)","Completed","Has Results","Primary Sclerosing Cholangitis (PSC)","Biological: Simtuzumab|Biological: Placebo","Gilead Sciences","Phase 2","235","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","March 4, 2013","August 24, 2016","Mayo Clinic Hospital, Phoenix, Arizona, United States|University of Arizona Health Sciences Center, Tucson, Arizona, United States|Southern California Liver Center, Chula Vista, California, United States|Southern California Liver Centers, Coronado, California, United States|Scripps Clinic, La Jolla, California, United States|Verterans Adminstration Hospital, Palo Alto, California, United States|UC Davis Medical Center, Sacramento, California, United States|University of San Diego Medical Center, San Diego, California, United States|University of California San Francisco, San Francisco, California, United States|University of Colorado Denver, Aurora, Colorado, United States|University of Miami Center for Liver Diseases, Miami, Florida, United States|Northwestern University, Chicago, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|Indianapolis Gastroenterology Research Foundation, Indianapolis, Indiana, United States|Iowa Digestive Disease Center, Clive, Iowa, United States|University of Louisville, Louisville, Kentucky, United States|Tulane University Health Sciences Center, New Orleans, Louisiana, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Minnesota Gastroenterology, PA, Saint Paul, Minnesota, United States|St. Louis University, Saint Louis, Missouri, United States|Weill Cornell Medical College, New York, New York, United States|Mount Sinai Hospital, New York, New York, United States|Duke Clinical Research Institute, Durham, North Carolina, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|Cleveland Clinic, Cleveland, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University Gastroenterology, Providence, Rhode Island, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|UT Southwestern Medical Center, Dallas, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|St. Luke Episcopal Hospital, Houston, Texas, United States|Alamo Medical Research, San Antonio, Texas, United States|Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States|University of Virginia Health Center, Charlottesville, Virginia, United States|Liver Institute of Virginia, Newport News, Virginia, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|Bon Secours Richmond Health System, Richmond, Virginia, United States|Virginia Commonwealth University Health System, Richmond, Virginia, United States|Virginia Mason Medical Center, Seattle, Washington, United States|University of Washington, Seattle, Washington, United States|Hôpital Erasme, Brussels, Belgium|Université Catholique de Louvain, Bruxelles, Belgium|UZ Antwerpen, Edegem, Belgium|UZ Gent, Gent, Belgium|UZ Leuven, Leuven, Belgium|University of Calgary, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada|University of Manitoba, Winnepeg, Manitoba, Canada|Dalhousie University, Halifax, Nova Scotia, Canada|London Health Science Center, London, Ontario, Canada|Toronto Liver Centre, Toronto, Ontario, Canada|Hvidovre Hospital, Hvidovre, Denmark|Rigshospitalet, Kobenhavn O, Denmark|Århus Universitetshospital, Århus Sygehus, Århus C, Denmark|Klinikum der Johann Wolfgang Goethe Universitat, Frankfurt, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Gastroenterologisch Hepatologisches Zentrum Kiel, Kiel, Germany|EUGASTRO GmbH, Leipzig, Germany|Istituto Clinico Humanitas, Rozzano, Milano, Italy|Azienda Ospedaliera San Camillo Forlanini, Roma, Italy|Azienda Ospedaliera Città della Salute e della Scienza di Torino, Torino, Italy|Eramus MC, Rotterdam, Netherlands|Hospital Universitario Vall d'Hebron, Barcelona, Cataluna, Spain|Hospital Universitario Puerta de Hierro, Majadahonda, Spain|Hospital Donostia, San Sebastian, Spain|Avd för invärtesmedicin och klinisk nutrition, Goteborg, Sweden|New Queen Elizabeth Hospital, Birmingham, United Kingdom|John Radcliffe Hospital, Headington, United Kingdom|Imperial College Healthcare NHS Trust- St. Mary's Hospital, London, United Kingdom|University College London, London, United Kingdom|Norfolk and Norwich University Hospital, Norwich, United Kingdom|University of Nottingham, Nottingham, United Kingdom","https://ClinicalTrials.gov/show/NCT01672853"
50,"Efficacy of Peginterferon Alfa-2b (SCH 054031) vs Glycyrrhizin in Interferon (IFN)-Treated Patients With Chronic Hepatitis C and F2/F3 Liver Fibrosis (P04773)","Terminated","Has Results","Hepatitis C, Chronic","Biological: Peginterferon alfa-2b (PegIFN-2b)|Drug: Comparator: Stronger neo minophagen C (SNMC)","Merck Sharp & Dohme Corp.","Phase 3","261","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","December 2006","February 2011",,"https://ClinicalTrials.gov/show/NCT00686881"
51,"BreathID Multi-center HCV Liver Breath Test Study","Terminated","No Results Available","Hepatitis C","Other: MBT and BreathID","Exalenz Bioscience LTD.|Icahn School of Medicine at Mount Sinai|Baylor College of Medicine|Virginia Commonwealth University|Hadassah Medical Organization|US Department of Veterans Affairs","Phase 2","75","Industry|Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","July 2006","February 2007","Mount Sinai School of Medicine, New York, New York, United States|Baylor College of Medicine, Houston, Texas, United States|U.S. Dept. of Veteran Affairs, Hunter Holmes McGuire Medical Center, Richmond, Virginia, United States|Virginia Commonwealth Univeristy, Richmond, Virginia, United States|Hadassah Medical Center, Jerusalem, Israel","https://ClinicalTrials.gov/show/NCT00350714"
52,"Study on PK of Hydronidone in Patients and Special Population","Recruiting","No Results Available","Hepatitis b & Liver Dysfunction","Drug: Hydronidone","Beijing Continent Pharmaceutical Co, Ltd.","Phase 1","8","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","September 3, 2019","June 30, 2020","Medical ethics committee of wuhan infectious disease hospital, Wuhan, Hubei, China","https://ClinicalTrials.gov/show/NCT04123769"
53,"A Study on How Semaglutide Works on Early Stages of Scar Tissue in the Liver Assessed by Pictures of the Liver","Completed","No Results Available","Hepatobiliary Disorders|Non-alcoholic Fatty Liver Disease","Drug: Semaglutide|Drug: Placebo","Novo Nordisk A/S","Phase 1","67","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","November 28, 2017","March 20, 2020","Novo Nordisk Investigational Site, Mainz, Germany|Novo Nordisk Investigational Site, Neuss, Germany","https://ClinicalTrials.gov/show/NCT03357380"
54,"Phase 1 Study to Evaluate Safety of GR-MD-02 in Subjects With Non-Alcoholic Steatohepatitis (NASH) and Advanced Fibrosis","Completed","No Results Available","Non-Alcoholic Steatohepatitis (NASH)","Drug: GR-MD-02|Drug: Placebo","Galectin Therapeutics Inc.","Phase 1","31","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","July 2013","February 2015","Brooke Army Medical Ctr., San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT01899859"
55,"Phase 2a Evaluation of Safety, Tolerability, and Pharmacokinetics of PLN-74809 in Patients With Primary Sclerosing Cholangitis (PSC)","Not yet recruiting","No Results Available","Primary Sclerosing Cholangitis","Drug: PLN-74809|Drug: Placebo","Pliant Therapeutics, Inc.","Phase 2","84","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","July 10, 2020","March 30, 2022",,"https://ClinicalTrials.gov/show/NCT04480840"
